GeneName	condition
Nqo1	GSE83687_Colon_GroupCD-GroupControl_Down
Higd1a	GSE83687_Colon_GroupCD-GroupControl_Down
F2r	GSE83687_Colon_GroupCD-GroupControl_Up
Gm1043	GSE83687_Colon_GroupCD-GroupControl_Up
Mrpl41	GSE83687_Colon_GroupCD-GroupControl_Down
Tshz2	GSE83687_Colon_GroupCD-GroupControl_Up
Plcb1	GSE83687_Colon_GroupCD-GroupControl_Up
Adgrg3	GSE83687_Colon_GroupCD-GroupControl_Up
Gjc1	GSE83687_Colon_GroupCD-GroupControl_Up
Rp1l1	GSE83687_Colon_GroupCD-GroupControl_Up
Lhfp	GSE83687_Colon_GroupCD-GroupControl_Up
Coa3	GSE83687_Colon_GroupCD-GroupControl_Down
Uqcr10	GSE83687_Colon_GroupCD-GroupControl_Down
Kcnq3	GSE83687_Colon_GroupCD-GroupControl_Up
Tspyl2	GSE83687_Colon_GroupCD-GroupControl_Up
Efna5	GSE83687_Colon_GroupCD-GroupControl_Down
Socs3	GSE83687_Colon_GroupCD-GroupControl_Up
Pde4b	GSE83687_Colon_GroupCD-GroupControl_Up
A530016L24Rik	GSE83687_Colon_GroupCD-GroupControl_Down
Tnfaip2	GSE83687_Colon_GroupCD-GroupControl_Up
Lsamp	GSE83687_Colon_GroupCD-GroupControl_Up
Cyp4x1	GSE83687_Colon_GroupCD-GroupControl_Up
Pde2a	GSE83687_Colon_GroupCD-GroupControl_Up
Gm45837	GSE83687_Colon_GroupCD-GroupControl_Up
Dync2h1	GSE83687_Colon_GroupCD-GroupControl_Up
Luzp2	GSE83687_Colon_GroupCD-GroupControl_Down
Col4a1	GSE83687_Colon_GroupCD-GroupControl_Up
1700019D03Rik	GSE83687_Colon_GroupCD-GroupControl_Down
Tmem72	GSE83687_Colon_GroupCD-GroupControl_Down
Pear1	GSE83687_Colon_GroupCD-GroupControl_Up
Mesp2	GSE83687_Colon_GroupCD-GroupControl_Down
Ido2	GSE83687_Colon_GroupCD-GroupControl_Up
Greb1	GSE83687_Colon_GroupCD-GroupControl_Up
Gimap3	GSE83687_Colon_GroupCD-GroupControl_Up
Gimap5	GSE83687_Colon_GroupCD-GroupControl_Up
Zfp386	GSE83687_Colon_GroupCD-GroupControl_Down
B020011L13Rik	GSE83687_Colon_GroupCD-GroupControl_Down
Zfp141	GSE83687_Colon_GroupCD-GroupControl_Down
Rfx8	GSE83687_Colon_GroupCD-GroupControl_Up
Wnk3	GSE83687_Colon_GroupCD-GroupControl_Up
